Subject,Start Date,End Date,Location,Country,Venue,Tutorial Deadline,Talk Deadline,Website URL,Proposal URL,Sponsorship URL
PyData PyCon Armenia,2026-07-24,2026-07-26,"Yerevan, Armenia",ARM,,,,https://pycon.am,,
Python Sudeste,2026-07-24,2026-07-26,"Rio de Janeiro, RJ",,,,,https://ingressos.python.org.br/sudeste/ingressos,,
PyOhio,2026-07-25,2026-07-26,"Cleveland, Ohio, USA",USA,Cleveland State University Student Center,,2026-04-20,https://www.pyohio.org/2026,https://pretalx.com/pyohio-2026/cfp,https://www.pyohio.org/2026/PyOhio-2026-Sponsorship-Prospectus.pdf
PyCamp Leipzig,2026-08-01,2026-08-02,"Leipzig, Germany",DEU,Basislager Coworking,,,https://barcamps.eu/python-barcamp-leipzig-2026,,
PyCon ID,2026-08-08,2026-08-09,"Jakarta, Indonesia",IDN,"BINUS University, Anggrek Campus",,,https://conferencegrid.com/events/pycon-id-2026,,
Python Nordeste (PyNE),2026-08-13,2026-08-16,"Fortaleza, Ceará, Brasil",BRA,,,,https://2026.pythonnordeste.org,,
PyCon Korea,2026-08-15,2026-08-17,"Seoul, South Korea",KOR,Dongguk University,,2026-06-14,https://2026.pycon.kr,,
PyDay Chile Rancagua,2026-08-19,2026-08-19,"Rancagua, Chile",CHL,,,,,,
PyCon Ghana,2026-08-20,2026-08-22,"Accra, Ghana",GHA,ALX Tech Hub Airport,,,https://gh.pycon.org/2026,https://gh.pycon.org/2026/talks/submit_talk,https://gh.pycon.org/2026/sponsors
PyCon Latam,2026-08-20,2026-08-23,"Turrialba, Costa Rica",CRI,,,,https://www.pylatam.org,,
PyCon JP,2026-08-21,2026-08-23,"Hiroshima, Japan",JPN,International Conference Center Hiroshima,,2026-05-31,https://2026.pycon.jp,https://pretalx.com/pyconjp2026/cfp,https://2026.pycon.jp/en/sponsors
DjangoCon US,2026-08-24,2026-08-28,"Chicago, Illinois, USA",USA,voco Chicago Downtown,,2026-03-23,https://2026.djangocon.us,https://2026.djangocon.us/speaking,https://2026.djangocon.us/sponsors
PyCon AU,2026-08-26,2026-08-30,"Brisbane, Australia",AUS,Sofitel Brisbane Central,,,https://2026.pycon.org.au,,https://2026.pycon.org.au/sponsor
PyCon PL,2026-08-27,2026-08-30,"Gliwice, Poland",POL,"Education and Congress Centre, Silesian University of Technology",2026-02-15,2026-02-15,https://pl.pycon.org/2026,https://pyconpl.confreg.pl/events/67-pycon-pl-2026,
PyCon Togo,2026-08-28,2026-08-30,"Lomé, Togo",TGO,,,,https://pycontg.pytogo.org,,
PyCon Portugal,2026-09-03,2026-09-05,"Aveiro, Portugal",PRT,,,,https://2026.pycon.pt,,https://pycon.pt/sponsors/sponsorship
PyHEP,2026-09-07,2026-09-09,"Geneva, Switzerland",CHE,,,,https://indico.cern.ch/category/7971,,
PyData Amsterdam,2026-09-10,2026-09-12,"Amsterdam, The Netherlands",NLD,NDSM Loods (conference) / Xebia (tutorials),,,https://www.sesamers.com/event/pydata-amsterdam,,
PyDay Boyacá,2026-09-12,2026-09-13,"Sogamoso, Boyacá, Colombia",COL,,,,https://www.pyday.co,,
PyCon Cameroon,2026-09-17,2026-09-19,"Yaounde, Cameroon",CMR,Girafe Hotel,,2026-08-26,https://cm.pycon.org,https://sessionize.com/pycon-camerooon-2026,https://cm.pycon.org/en/sponsor
PyCaxias,2026-09-26,2026-09-26,"Caxias do Sul, RS, Brasil",,Uniftec Caxias do Sul,,,https://pycaxias.com.br,,https://pycaxias.com.br/#patrocinio
Django Day Copenhagen,2026-10-02,2026-10-02,"Copenhagen, Denmark",DNK,"Copenhagen, Denmark",,,https://2026.djangoday.dk,https://2026.djangoday.dk/cfp,https://2026.djangoday.dk/#supporters
PyCon Kenya,2026-10-02,2026-10-03,"Nairobi, Kenya",KEN,,,,https://www.pycon.ke,,https://www.pycon.ke/sponsors?ref=conferencegrid.com
PyBay,2026-10-03,2026-10-03,"San Francisco, California, USA",USA,Mission Bay Conference Center,,2026-07-31,https://pybay.org,https://pybay.org/speaking,https://pybay.org/sponsors/sponsor-us
EARL,2026-10-06,2026-10-08,"Brighton, United Kingdom",GBR,Leonardo Royal Hotel Brighton Waterfront​,,,https://earl-conference.com,,https://earl-conference.com/earl-archive/sponsors
PyCon Africa,2026-10-07,2026-10-11,"Kampala, Uganda",UGA,Speke Resort Munyonyo,,,https://africa.pycon.org,https://africa.pycon.org/2026/talks/proposals,https://africa.pycon.org/2026/sponsor-us
PyDay México: CDMX,2026-10-10,2026-10-10,"Ciudad de México, CMX, México",MEX,TecNM Instituto Tecnológico de Gustavo A. Madero,,,https://www.eventbrite.com.mx/e/pyday-mexico-2026-cdmx-tickets-1989262280029,,
PyCon Greece,2026-10-12,2026-10-13,"Athens, Greece",GRC,Technopolis City of Athens,,,https://2026.pycon.gr,https://2026.pycon.gr/en/program/cfp-faq,https://2026.pycon.gr/en/sponsors
PyCon NL,2026-10-15,2026-10-15,"Utrecht, The Netherlands",NLD,Jaarbeurs,2026-08-23,2026-08-23,https://www.pycon-nl.org,https://forms.gle/iiFnW8oZ8p9do4TR7,https://www.pycon-nl.org/call-for-sponsors
PyCon TW,2026-10-17,2026-10-19,"Taipei, Taiwan",TWN,,,,https://tw.pycon.org/2026/en-us,,
PyTorch Conference,2026-10-20,2026-10-21,"San Jose, CA, USA",USA,,,,https://pytorch.org/event/pytorch-conference-2026,,
PyCon Panamá,2026-10-22,2026-10-23,"Panamá City, Panamá",PAN,Universidad del Istmo,2026-09-18,2026-09-18,https://pycon.pa/2026,https://pycon.pa/2026/ponentes,https://pycon.pa/2026/patrocinadores
Swiss Python Summit,2026-10-22,2026-10-23,"Rapperswil, Switzerland",CHE,OST campus,,2026-06-15,https://www.python-summit.ch,https://python-summit.ch/cfp,https://python-summit.ch/sponsoring
PyHo,2026-10-23,2026-10-25,"Ho, Ghana",GHA,,,,https://2026.pythonho.com,,
PyBeach,2026-10-24,2026-10-24,"Santa Monica, California, USA",USA,,,,https://2026.pybeach.org,,https://2026.pybeach.org/prospectus
FastAPI Conf,2026-10-28,2026-10-28,"Amsterdam, The Netherlands",NLD,"Transformatorhuis, De Wester",,,https://fastapiconf.com,,https://fastapiconf.com/#sponsors
PyConFR,2026-10-29,2026-11-01,"Biarritz, France",FRA,École d’ingénieurs ESTIA,,,https://www.pycon.fr/2026/en,https://cfp.pycon.fr/pyconfr-2026/cfp,https://www.pycon.fr/2026/en/support.html
PyConES,2026-11-06,2026-11-08,"Barcelona, España",ESP,University of Barcelona,,,https://2026.es.pycon.org/en,,https://2026.es.pycon.org/en/sponsors
Python Pizza Istanbul,2026-11-14,2026-11-14,"Istanbul, Turkey",TUR,StartGate Istanbul,,2026-09-07,https://istanbul.python.pizza,https://istanbul.python.pizza/cfp,https://istanbul.python.pizza/sponsors
PyCon Tanzania,2026-11-14,2026-11-16,"Dar es Salaam, Tanzania, United Republic of",TZA,Dar es Salaam,,,https://pycon.tz,,
XtremePython,2026-11-17,2026-11-18,Online,,,,,https://xtremepython.dev,,
Wagtail Space,2026-11-18,2026-11-20,Online,,,,,https://wagtail.org/wagtail-space-2026,https://pretalx.com/wagtail-space-2026/cfp,
PyCon Sweden,2026-11-19,2026-11-20,"Stockholm, Sweden",SWE,Clarion Skanstull Hotel,,,https://pycon.se,,
PyCon Wroclaw,2026-11-20,2026-11-21,"Wroclaw, Poland",POL,,,,https://www.pyconwroclaw.com,,
PyCon Ireland,2026-11-21,2026-11-21,"Dublin, Ireland",IRL,Dublin's City Centre,,2026-08-30,https://2026.pycon.ie,https://2026.pycon.ie/cfp,
Python E-Commerce Forum,2026-11-26,2026-11-29,"Edinburgh, United Kingdom",GBR,"Edinburgh, United Kingdom",,,https://codehut.co.uk/2026,,
Pycon Senegambia,2026-11-27,2026-11-28,"Dakar, Senegal",GMB,,,,https://www.pyconsenegambia.org,,
PyLadiesCon,2026-12-05,2026-12-07,Online,,,,,https://2026.conference.pyladies.com/en,,https://2026.conference.pyladies.com/en/sponsors
PyData Global,2026-12-08,2026-12-10,Worldwide,USA,Online,,,https://pydata.org/global2026,,
SciPy India,2026-12-19,2026-12-20,"Chennai, Tamil Nadu, India",IND,Indian Institute of Technology Madras,2026-10-19,2026-10-19,https://scipy.in/2026,https://cfp.scipy.in/scipy-india-2026,https://scipy.in/2026/sponsor.html
