Subject,Start Date,End Date,Location,Country,Venue,Tutorial Deadline,Talk Deadline,Website URL,Proposal URL,Sponsorship URL
PyConWeb,2025-01-24,2025-01-25,"Berlin, Germany",DEU,CIC Berlin,,,https://www.pyconweb.com,,https://www.pyconweb.com/sponsorship
FOSDEM: Python Dev Room,2025-02-02,2025-02-02,"Brussels, Belgium",BEL,,,2024-12-01,https://fosdem.org/2025/schedule/track/python,https://pretalx.fosdem.org/fosdem-2025/cfp,https://fosdem.org/2025/about/sponsors
PyCascades,2025-02-08,2025-02-09,"Portland, Oregon, USA",USA,Revolution Hall,,2024-09-15,https://2025.pycascades.com,https://2025.pycascades.com/program/cfp,
DjangoCongress JP,2025-02-22,2025-02-22,"Tokyo, Japan",JPN,,,,https://djangocongress.jp,,
PyConf Hyderabad,2025-02-22,2025-02-24,"Hyderabad, Telangana, India",IND,,,,https://2025.pyconfhyd.org,,
GeoPython,2025-02-24,2025-02-26,"Basel, Switzerland",CHE,,,2024-11-15,https://2025.geopython.net,https://submit.geopython.net/geopython-2025/cfp,
PyCon Namibia,2025-02-24,2025-02-27,"Windhoek, Namibia",NAM,,,2024-11-17,https://na.pycon.org,https://na.pycon.org/call-proposals,
PyCon Asia Pacific,2025-03-01,2025-03-02,"Metro Manila, The Philippines",PHL,Ateneo de Manila University,,2024-12-15,https://pycon-apac.python.ph,https://pretalx.com/pycon-apac-2025/cfp,https://docs.google.com/forms/d/e/1FAIpQLScay8a44Fvgc0IDJ0IuKlNZgxQKs1kA7ginxto60gW3cIK2Eg/viewform
PyCon Austria,2025-04-06,2025-04-07,"Eisenstadt, Austria",AUT,University of Applied Sciences (UAS) Burgenland,,2025-03-15,https://pycon.pyug.at/en,https://www.papercall.io/pycon-austria,https://pycon.pyug.at/en/sponsor-information
SpaceCon,2025-04-11,2025-04-12,"Kathmandu, Nepal",NPL,,,,https://spacecon.antarikchya.org.np,,
PyTexas,2025-04-11,2025-04-13,"Austin, Texas, USA",USA,Austin Central Public Library,,2024-12-01,https://www.pytexas.org/2025,,https://www.pytexas.org/2025/sponsors/sponsor-us
PyCon DE & PyData,2025-04-23,2025-04-25,"Frankfurt, Germany",DEU,Darmstadtium,,2024-12-22,https://2025.pycon.de,https://2025.pycon.de/call-for-proposals,https://2025.pycon.de/sponsoring
PyCon Lithuania,2025-04-23,2025-04-25,"Vilnius, Lithuania",LTU,,,2025-02-28,https://pycon.lt,https://pycon.lt/call-for-proposals,
DjangoCon Europe,2025-04-23,2025-04-27,"Dublin, Ireland",IRL,Talbot Hotel Stillorgan,,,https://2025.djangocon.eu,,https://2025.djangocon.eu/sponsors/sponsorship
North Bay Python,2025-04-26,2025-04-27,"Petaluma, California, USA",USA,,,,https://2025.northbaypython.org,,https://2025.northbaypython.org/sponsor
PyCamp España,2025-05-01,2025-05-04,"Sevilla, España",ESP,,,,https://pycamp.es,https://docs.google.com/forms/d/1PpI3MstjIBH2e9J21UQaTHQLKTTEuR13od3iQkfJ8Zo,
PyCon US,2025-05-14,2025-05-22,"Pittsburgh, Pennsylvania, USA",USA,David L. Lawrence Convention Center,,2024-12-19,https://us.pycon.org,https://us.pycon.org/2025/speaking/guidelines,https://us.pycon.org/2025/sponsorship/why-sponsor
